,date,totaltest,totalcauses,totaldeaths,totalcritically,totalrecoveries,dailycases,dailysick,dailytest,dailydeaths,dailyrecoveries
0,26.05.2021,53038651.0,5212123,46787.0,1561.0,5057713.0,8738.0,681.0,221214.0,166.0,12205.0
1,25.05.2021,52817437.0,5203385,46621.0,1667.0,5045508.0,9375.0,693.0,223104.0,175.0,11192.0
2,24.05.2021,52594333.0,5194010,46446.0,1745.0,5034316.0,7523.0,702.0,216655.0,178.0,10003.0
3,23.05.2021,52377678.0,5186487,46268.0,1843.0,5024313.0,7839.0,710.0,210291.0,197.0,11202.0
4,22.05.2021,52167387.0,5178648,46071.0,1876.0,5013111.0,8697.0,835.0,216658.0,231.0,14472.0
5,21.05.2021,51950729.0,5169951,45840.0,1977.0,4998639.0,9528.0,846.0,218846.0,214.0,8852.0
6,20.05.2021,51731883.0,5160423,45419.0,2162.0,4980516.0,9385.0,902.0,218683.0,233.0,9271.0
7,19.05.2021,51512691.0,5151038,45419.0,2162.0,4980516.0,11553.0,902.0,218683.0,233.0,9271.0
8,18.05.2021,51294008.0,5139485,45186.0,2232.0,4971245.0,11937.0,916.0,217276.0,203.0,10125.0
9,17.05.2021,51076732.0,5127548,44983.0,2326.0,4961120.0,10174.0,923.0,206836.0,223.0,13864.0
10,16.05.2021,50869896.0,5117374,44760.0,2468.0,4947256.0,10512.0,920.0,202243.0,223.0,14418.0
11,15.05.2021,50667653.0,5106862,44537.0,2563.0,4932838.0,11472.0,1084.0,204637.0,236.0,38814.0
12,14.05.2021,50463016.0,5095390,44301.0,2670.0,4894024.0,11394.0,1102.0,203073.0,242.0,37261.0
13,13.05.2021,50259943.0,5083996,44059.0,2765.0,4856763.0,11534.0,1217.0,201295.0,238.0,55472.0
14,12.05.2021,50058648.0,5072462,43821.0,2827.0,4801291.0,13029.0,1496.0,228192.0,232.0,35167.0
15,11.05.2021,49830456.0,5059433,43589.0,2975.0,4766124.0,14497.0,1582.0,226452.0,278.0,22253.0
16,10.05.2021,49604004.0,5044936,43311.0,2983.0,4743871.0,13604.0,1734.0,213863.0,282.0,26953.0
17,9.05.2021,49390141.0,5031332,43029.0,3081.0,4716918.0,15191.0,2102.0,197468.0,283.0,25694.0
18,8.05.2021,49162673.0,5016141,42746.0,3175.0,4691224.0,18052.0,2178.0,228873.0,281.0,28896.0
19,7.05.2021,48963800.0,4998089,42465.0,3260.0,4662328.0,20107.0,2210.0,251194.0,278.0,35529.0
20,6.05.2021,48712606.0,4977982,42187.0,3378.0,4626799.0,22388.0,2401.0,253382.0,304.0,37298.0
21,5.05.2021,48459224.0,4955594,41883.0,3418.0,4589501.0,26476.0,2414.0,229491.0,356.0,35464.0
22,4.05.2021,48229733.0,4929118,41527.0,3452.0,4554037.0,28997.0,2483.0,241747.0,336.0,38218.0
23,3.05.2021,47987986.0,4900121,41191.0,3438.0,4515819.0,24733.0,2501.0,243648.0,347.0,35438.0
24,2.05.2021,47744338.0,4875388,40844.0,3532.0,4480381.0,25980.0,2587.0,240145.0,340.0,75182.0
25,1.05.2021,47504193.0,4849408,40504.0,3525.0,4405199.0,28817.0,2615.0,242194.0,373.0,81302.0
26,30.04.2021,47261999.0,4820591,40131.0,3534.0,4323897.0,31891.0,2673.0,265287.0,394.0,68183.0
27,29.04.2021,46996712.0,4788700,39737.0,3581.0,4255714.0,37674.0,2715.0,278108.0,339.0,43253.0
28,28.04.2021,46718604.0,4751026,39398.0,3558.0,4212461.0,40444.0,2728.0,283261.0,341.0,45198.0
29,27.04.2021,46435343.0,4710582,39057.0,3549.0,4167263.0,43301.0,2703.0,282192.0,346.0,45592.0
30,26.04.2021,46153151.0,4667281,38711.0,3563.0,4121671.0,37312.0,2716.0,268893.0,353.0,48027.0
31,25.04.2021,45884258.0,4629969,38358.0,3590.0,4073644.0,38553.0,2801.0,260280.0,347.0,51236.0
32,24.04.2021,45623978.0,4591416,38011.0,3511.0,4022408.0,40596.0,2905.0,281183.0,339.0,52297.0
33,23.04.2021,45342795.0,4550820,37672.0,3475.0,3970111.0,49438.0,3089.0,302091.0,343.0,60176.0
34,22.04.2021,45040704.0,4501382,37329.0,3463.0,3909935.0,54791.0,3128.0,312109.0,354.0,65593.0
35,21.04.2021,44728595.0,4446591,36975.0,3398.0,3844342.0,61967.0,2932.0,318839.0,362.0,52213.0
36,20.04.2021,44409756.0,4384624,36613.0,3375.0,3792129.0,61028.0,2895.0,322128.0,346.0,55592.0
37,19.04.2021,44087628.0,4323596,36267.0,3319.0,3736537.0,55149.0,2862.0,318869.0,341.0,48947.0
38,18.04.2021,43768759.0,4268447,35926.0,3275.0,3687590.0,55802.0,3101.0,301243.0,318.0,43856.0
39,17.04.2021,43467516.0,4212645,35608.0,3240.0,3643734.0,62606.0,2973.0,319316.0,288.0,52184.0
40,16.04.2021,43148200.0,4150039,35320.0,3205.0,3591550.0,63082.0,2915.0,320078.0,289.0,56510.0
41,15.04.2021,42828122.0,4086957,35031.0,3080.0,3535040.0,61400.0,2845.0,318217.0,297.0,54894.0
42,14.04.2021,42509905.0,4025557,34734.0,3018.0,3480146.0,62797.0,2802.0,310420.0,279.0,55413.0
43,13.04.2021,42199485.0,3962760,34455.0,2951.0,3424733.0,59187.0,2723.0,306563.0,273.0,52104.0
44,12.04.2021,41892922.0,3903573,34182.0,2891.0,3372629.0,54562.0,2671.0,301068.0,243.0,41218.0
45,11.04.2021,41591854.0,3849011,33939.0,2824.0,3331411.0,50678.0,2548.0,294274.0,237.0,30194.0
46,10.04.2021,41297580.0,3798333,33702.0,2739.0,3301217.0,52676.0,2498.0,302732.0,248.0,32539.0
47,9.04.2021,40994845.0,3745657,33454.0,2658.0,3268678.0,55791.0,2408.0,305103.0,253.0,35786.0
48,8.04.2021,40689742.0,3689866,33201.0,3615.0,3232892.0,55941.0,2316.0,304492.0,258.0,37914.0
49,7.04.2021,40385250.0,3633925,32943.0,2604.0,3194978.0,54740.0,2203.0,302108.0,276.0,35503.0
50,6.04.2021,40083142.0,3579185,32667.0,2477.0,3159475.0,49584.0,2003.0,271547.0,211.0,28498.0
51,5.04.2021,39811595.0,3529601,32456.0,2407.0,3130977.0,42551.0,1706.0,245496.0,193.0,25627.0
52,4.04.2021,39566099.0,3487050,32263.0,2311.0,3105350.0,41998.0,1508.0,246210.0,185.0,22674.0
53,3.04.2021,39319889.0,3445052,32078.0,2231.0,3082676.0,44756.0,1483.0,249126.0,186.0,23214.0
54,2.04.2021,39070763.0,3400296,31892.0,2182.0,3059462.0,42308.0,1471.0,248968.0,179.0,24419.0
55,1.04.2021,38821795.0,3357988,31713.0,2135.0,3035043.0,40806.0,1424.0,243738.0,176.0,20817.0
